pesquisa_id,projeto_id,data_pesquisa,nota_nps,comentario
PSQ0057,PRJ0074,2025-11-17,,Entrega no prazo e time muito atencioso.
PSQ0058,PRJ0075,2025-09-15,8,"Resultado ok, prazo apertado."
PSQ0059,PRJ0076,2024-06-26,10,Documentação impecável.
PSQ0060,PRJ0077,2025-01-13,10,Documentação impecável.
PSQ0061,PRJ0078,10/11/2025,9,O painel virou rotina da diretoria.
PSQ0062,PRJ0079,04-ago-2025,10,Ganhamos agilidade nas decisões.
PSQ0063,PRJ0080,12/09/2024,9,O painel virou rotina da diretoria.
PSQ0064,PRJ0084,2025-10-07,10,Entrega no prazo e time muito atencioso.
PSQ0065,PRJ0086,2026-06-22,8,"Bom projeto, comunicação pode melhorar."
PSQ0066,PRJ0087,2025-11-24,10,Ganhamos agilidade nas decisões.
PSQ0067,PRJ0088,2025-10-24,5,Suporte demorou a responder.
PSQ0068,PRJ0089,02/10/2024,7,Atendeu ao combinado.
PSQ0069,PRJ0090,22-nov-2024,10,Entrega no prazo e time muito atencioso.
PSQ0070,PRJ0091,01/14/2026,7,"Resultado ok, prazo apertado."
PSQ0071,PRJ0092,2024-09-05,,O painel virou rotina da diretoria.
PSQ0072,PRJ0093,2024-12-02,9,Documentação impecável.
PSQ0073,PRJ0094,2025-10-08,7,Atendeu ao combinado.
PSQ0074,PRJ0096,2026-06-15,10,Ganhamos agilidade nas decisões.
PSQ0075,PRJ0097,01/07/2024,10,O painel virou rotina da diretoria.
PSQ0076,PRJ0098,23-out-2025,8,Atendeu ao combinado.
PSQ0077,PRJ0099,07/14/2025,10,Ganhamos agilidade nas decisões.
PSQ0078,PRJ0100,2026-06-22,10,O painel virou rotina da diretoria.
PSQ0079,PRJ0102,2025-03-10,6,Precisamos refazer parte do painel.
PSQ0080,PRJ0104,2024-06-25,8,"Bom projeto, comunicação pode melhorar."
PSQ0081,PRJ0105,2025-12-17,8,"Bom projeto, comunicação pode melhorar."
PSQ0082,PRJ0107,05/05/2025,7,"Bom projeto, comunicação pode melhorar."
PSQ0083,PRJ0108,17-jul-2024,10,Entrega no prazo e time muito atencioso.
PSQ0084,PRJ0109,06/24/2026,8,"Bom projeto, comunicação pode melhorar."
PSQ0085,PRJ0110,2025-03-03,,Documentação impecável.
PSQ0086,PRJ0112,2025-09-01,5,Suporte demorou a responder.
PSQ0087,PRJ0113,2024-06-20,10,Documentação impecável.
PSQ0088,PRJ0116,2025-06-12,10,Documentação impecável.
PSQ0089,PRJ0117,25/08/2025,9,Ganhamos agilidade nas decisões.
PSQ0090,PRJ0119,18-jun-2024,6,Precisamos refazer parte do painel.
PSQ0091,PRJ0123,08/29/2025,3,Suporte demorou a responder.
PSQ0092,PRJ0124,2024-11-18,8,Atendeu ao combinado.
PSQ0093,PRJ0125,2025-04-21,8,"Resultado ok, prazo apertado."
PSQ0094,PRJ0126,2026-06-17,5,Precisamos refazer parte do painel.
PSQ0095,PRJ0127,2025-12-22,7,"Resultado ok, prazo apertado."
PSQ0096,PRJ0128,18/06/2026,6,Atraso significativo na entrega.
PSQ0097,PRJ0130,15-jul-2025,9,Entrega no prazo e time muito atencioso.
PSQ0098,PRJ0132,11/21/2024,9,Entrega no prazo e time muito atencioso.
PSQ0099,PRJ0134,2026-02-26,,"Resultado ok, prazo apertado."
PSQ0100,PRJ0135,2024-04-19,10,O painel virou rotina da diretoria.
PSQ0101,PRJ0137,2025-07-22,9,O painel virou rotina da diretoria.
PSQ0102,PRJ0139,2024-12-23,7,"Bom projeto, comunicação pode melhorar."
PSQ0103,PRJ0140,13/02/2026,8,"Bom projeto, comunicação pode melhorar."
